# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
 7837.767125 |   0)  compact-3316  | + 11.125 us   |  } /* __alloc_pages_nodemask */
 7837.771413 |   0)  compact-3316  | + 10.388 us   |  } /* __alloc_pages_nodemask */
 7837.791126 |   0)  compact-3316  | + 12.733 us   |  } /* __alloc_pages_nodemask */
 7837.803126 |   0)  compact-3316  | + 11.962 us   |  } /* __alloc_pages_nodemask */
 7837.803432 |   0)  compact-3316  | + 10.196 us   |  } /* __alloc_pages_nodemask */
 7837.804377 |   0)  compact-3316  | + 11.758 us   |  } /* __alloc_pages_nodemask */
 7837.807126 |   0)  compact-3316  | + 14.838 us   |  } /* __alloc_pages_nodemask */
 7837.834947 |   0)  compact-3316  | + 19.606 us   |  } /* __alloc_pages_nodemask */
 7837.834989 |   0)  compact-3316  | + 14.359 us   |  } /* __alloc_pages_nodemask */
 7837.851126 |   0)  compact-3316  | + 12.490 us   |  } /* __alloc_pages_nodemask */
 7837.866836 |   0)  compact-3316  | + 10.003 us   |  } /* __alloc_pages_nodemask */
 7837.867134 |   0)  compact-3316  | + 22.311 us   |  } /* __alloc_pages_nodemask */
 7837.867466 |   0)  compact-3316  | + 10.060 us   |  } /* __alloc_pages_nodemask */
 7837.898517 |   0)  compact-3316  | + 11.528 us   |  } /* __alloc_pages_nodemask */
 7837.899597 |   0)  compact-3316  | + 10.336 us   |  } /* __alloc_pages_nodemask */
 7837.923127 |   0)  compact-3316  | + 14.622 us   |  } /* __alloc_pages_nodemask */
 7837.931160 |   0)  compact-3316  | + 45.157 us   |  } /* __alloc_pages_nodemask */
 7837.931519 |   0)  compact-3316  | + 11.259 us   |  } /* __alloc_pages_nodemask */
 7837.935126 |   0)  compact-3316  | + 14.134 us   |  } /* __alloc_pages_nodemask */
 7837.951127 |   0)  compact-3316  | + 14.181 us   |  } /* __alloc_pages_nodemask */
 7837.955125 |   0)  compact-3316  | + 13.170 us   |  } /* __alloc_pages_nodemask */
 7837.962882 |   0)  compact-3316  | + 10.076 us   |  } /* __alloc_pages_nodemask */
 7837.963172 |   0)  compact-3316  | + 60.490 us   |  } /* __alloc_pages_nodemask */
 7837.991125 |   0)  compact-3316  | + 14.720 us   |  } /* __alloc_pages_nodemask */
 7837.993561 |   0)  compact-3316  | + 10.107 us   |  } /* __alloc_pages_nodemask */
 7837.994630 |   0)  compact-3316  | + 10.121 us   |  } /* __alloc_pages_nodemask */
 7837.999126 |   0)  compact-3316  | + 13.656 us   |  } /* __alloc_pages_nodemask */
 7838.003122 |   0)  compact-3316  | + 10.662 us   |  } /* __alloc_pages_nodemask */
 7838.007125 |   0)  compact-3316  | + 12.595 us   |  } /* __alloc_pages_nodemask */
 7838.011126 |   0)  compact-3316  | + 14.252 us   |  } /* __alloc_pages_nodemask */
 7838.015125 |   0)  compact-3316  | + 15.154 us   |  } /* __alloc_pages_nodemask */
 7838.025189 |   0)  compact-3316  | + 12.493 us   |  } /* __alloc_pages_nodemask */
 7838.027124 |   0)  compact-3316  | + 12.054 us   |  } /* __alloc_pages_nodemask */
 7838.031123 |   0)  compact-3316  | + 11.755 us   |  } /* __alloc_pages_nodemask */
 7838.055123 |   0)  compact-3316  | + 11.375 us   |  } /* __alloc_pages_nodemask */
 7838.056929 |   0)  compact-3316  | + 10.428 us   |  } /* __alloc_pages_nodemask */
 7838.057886 |   0)  compact-3316  | + 14.550 us   |  } /* __alloc_pages_nodemask */
 7838.071125 |   0)  compact-3316  | + 13.381 us   |  } /* __alloc_pages_nodemask */
 7838.088409 |   0)  compact-3316  | + 12.029 us   |  } /* __alloc_pages_nodemask */
 7838.103124 |   0)  compact-3316  | + 12.856 us   |  } /* __alloc_pages_nodemask */
 7838.107125 |   0)  compact-3316  | + 14.208 us   |  } /* __alloc_pages_nodemask */
 7838.111125 |   0)  compact-3316  | + 14.613 us   |  } /* __alloc_pages_nodemask */
 7838.120241 |   0)  compact-3316  | + 10.417 us   |  } /* __alloc_pages_nodemask */
 7838.121235 |   0)  compact-3316  | + 22.255 us   |  } /* __alloc_pages_nodemask */
 7838.123123 |   0)  compact-3316  | + 11.656 us   |  } /* __alloc_pages_nodemask */
 7838.127124 |   0)  compact-3316  | + 11.910 us   |  } /* __alloc_pages_nodemask */
 7838.135124 |   0)  compact-3316  | + 12.149 us   |  } /* __alloc_pages_nodemask */
 7838.143126 |   0)  compact-3316  | + 14.486 us   |  } /* __alloc_pages_nodemask */
 7838.151912 |   0)  compact-3316  | + 12.711 us   |  } /* __alloc_pages_nodemask */
 7838.152846 |   0)  compact-3316  | + 11.911 us   |  } /* __alloc_pages_nodemask */
 7838.153112 |   0)  compact-3316  | + 13.296 us   |  } /* __alloc_pages_nodemask */
 7838.163124 |   0)  compact-3316  | + 13.591 us   |  } /* __alloc_pages_nodemask */
 7838.167125 |   0)  compact-3316  | + 14.083 us   |  } /* __alloc_pages_nodemask */
 7838.199124 |   0)  compact-3316  | + 11.482 us   |  } /* __alloc_pages_nodemask */
 7838.215112 |   0)  compact-3316  | + 14.976 us   |  } /* __alloc_pages_nodemask */
 7838.227139 |   0)  compact-3316  | + 28.248 us   |  } /* __alloc_pages_nodemask */
 7838.231121 |   0)  compact-3316  | + 10.820 us   |  } /* __alloc_pages_nodemask */
 7838.239124 |   0)  compact-3316  | + 13.279 us   |  } /* __alloc_pages_nodemask */
 7838.246910 |   0)  compact-3316  | + 13.994 us   |  } /* __alloc_pages_nodemask */
 7838.251126 |   0)  compact-3316  | + 15.615 us   |  } /* __alloc_pages_nodemask */
